NAME,CAP_DD_LAT,CAP_DD_LON,CAP_HT,WGS_DD_LAT,WGS_DD_LON,WGS_HT
27TR1,-25.412908466274,27.538497267084,0.000000000000,-25.413490305587,27.538190423759,0.000000000000
27TR10,-25.756263307545,27.206027143988,0.000000000000,-25.756817027839,27.205709591216,0.000000000000
27TR100,-25.994413584931,27.884247784032,0.000000000000,-25.994959331989,27.883940952971,0.000000000000
27TR101,-25.936424348793,27.969986256583,0.000000000000,-25.936974817022,27.969682143776,0.000000000000
27TR102,-25.967298937705,27.888624262658,0.000000000000,-25.967846528466,27.888317707925,0.000000000000
27TR103,-25.933759029449,27.924531532586,0.000000000000,-25.934309190361,27.924226237534,0.000000000000
27TR104,-25.737261464950,27.845509206317,0.000000000000,-25.737824258844,27.845204454629,0.000000000000
27TR105,-25.785421628840,27.848580257643,0.000000000000,-25.785980800501,27.848275260592,0.000000000000
27TR106,-25.658878544996,27.859321800640,0.000000000000,-25.659446375105,27.859018437962,0.000000000000
27TR107,-25.632312425256,27.978791343234,0.000000000000,-25.632883104475,27.978491527235,0.000000000000
27TR108,-25.647315200678,27.942396131449,0.000000000000,-25.647884647559,27.942095024787,0.000000000000
27TR109,-25.655390539332,27.911001995993,0.000000000000,-25.655959328113,27.910699848143,0.000000000000
27TR110,-25.697115665747,27.934761241031,0.000000000000,-25.697682193375,27.934459242330,0.000000000000
27TR111,-25.722930973825,27.974258017853,0.000000000000,-25.723496092992,27.973956386422,0.000000000000
27TR112,-25.740088154720,27.932132966347,0.000000000000,-25.740651721501,27.931830300147,0.000000000000
27TR113,-25.747264322564,27.898981962320,0.000000000000,-25.747827083796,27.898678011320,0.000000000000
27TR114,-25.829421886617,27.872960531368,0.000000000000,-25.829977846364,27.872655185006,0.000000000000
27TR116,-25.898498519521,27.849302813923,0.000000000000,-25.899049885390,27.848995940323,0.000000000000
27TR117,-25.929239461551,27.873051429152,0.000000000000,-25.929789343701,27.872744981365,0.000000000000
27TR118,-25.882102800353,27.957868378704,0.000000000000,-25.882656473782,27.957564409505,0.000000000000
27TR119,-25.860928933038,27.983313568238,0.000000000000,-25.861484308145,27.983010063987,0.000000000000
27TR12,-25.809244047113,27.809010127127,0.000000000000,-25.809801133836,27.808703682230,0.000000000000
27TR120,-25.844241519113,27.942578228828,0.000000000000,-25.844797274853,27.942274734618,0.000000000000
27TR121,-25.688271303555,27.983769556063,0.000000000000,-25.688838462414,27.983468607285,0.000000000000
27TR122,-25.796907971822,27.919103138078,0.000000000000,-25.797467002198,27.918799104751,0.000000000000
27TR123,-25.807641245327,27.860334740019,0.000000000000,-25.808199058469,27.860029645768,0.000000000000
27TR124,-25.525833431885,27.925840266896,0.000000000000,-25.526410576404,27.925540887163,0.000000000000
27TR125,-25.893107279397,27.902944468822,0.000000000000,-25.893659635062,27.902638983613,0.000000000000
27TR126,-25.577171204603,27.918397649427,0.000000000000,-25.577745093341,27.918097015639,0.000000000000
27TR127,-25.584755861440,27.970477520379,0.000000000000,-25.585329728326,27.970178375263,0.000000000000
27TR128,-25.544476724774,27.990719927387,0.000000000000,-25.545053564570,27.990421930936,0.000000000000
27TR129,-25.994396331008,27.711227267240,0.000000000000,-25.994939833363,27.710916130877,0.000000000000
27TR13,-25.866064726830,27.822891292197,0.000000000000,-25.866618114994,27.822584615283,0.000000000000
27TR130,-25.972998519910,27.218094020928,0.000000000000,-25.973536041403,27.217773096118,0.000000000000
27TR131,-25.867108225702,27.462024137971,0.000000000000,-25.867655347644,27.461709362005,0.000000000000
27TR132,-25.993402354242,27.308168627299,0.000000000000,-25.993939281898,27.307849585128,0.000000000000
27TR133,-25.965266472629,27.448369932936,0.000000000000,-25.965806677470,27.448053550125,0.000000000000
27TR134,-25.920204874148,27.503029663398,0.000000000000,-25.920748840315,27.502715587505,0.000000000000
27TR135,-25.920306593185,27.515263297203,0.000000000000,-25.920850671305,27.514949517942,0.000000000000
27TR137,-25.978988500180,27.168121887487,0.000000000000,-25.979525726541,27.167798918116,0.000000000000
27TR138,-25.940734459092,27.453591940066,0.000000000000,-25.941276256160,27.453275897622,0.000000000000
27TR139,-25.928697437079,27.156320220308,0.000000000000,-25.929237332945,27.155997594506,0.000000000000
27TR14,-25.322402408638,27.120823265623,0.000000000000,-25.322987285020,27.120508162802,0.000000000000
27TR140,-25.914926555021,27.350855756307,0.000000000000,-25.915468895232,27.350538716117,0.000000000000
27TR141,-25.870759749089,27.194317297731,0.000000000000,-25.871304714720,27.193996567049,0.000000000000
27TR142,-25.932011849389,27.204060438099,0.000000000000,-25.932552374288,27.203740160350,0.000000000000
27TR143,-25.908236005995,27.071412562157,0.000000000000,-25.908776146027,27.071090527146,0.000000000000
27TR144,-25.888406395748,27.261723627134,0.000000000000,-25.888950162636,27.261404747468,0.000000000000
27TR145,-25.838215944609,27.337797579932,0.000000000000,-25.838763752330,27.337481108127,0.000000000000
27TR146,-25.865402311091,27.282448709307,0.000000000000,-25.865947888639,27.282130575783,0.000000000000
27TR147,-25.916535360860,27.387043581406,0.000000000000,-25.917078045295,27.386726420321,0.000000000000
27TR148,-25.953700489187,27.068295594846,0.000000000000,-25.954238130459,27.067972527463,0.000000000000
27TR149,-25.997136864653,27.446649722023,0.000000000000,-25.997676031486,27.446333008094,0.000000000000
27TR15,-25.125389703477,27.595267694303,0.000000000000,-25.125993117288,27.594964390178,0.000000000000
27TR150,-25.960106641312,27.600279945945,0.000000000000,-25.960650731951,27.599967453792,0.000000000000
